"quasi"	"cmpcode"	"cmpdomain"
"We will start by renewing the American Dream for a new era – with the same new hope and new ideas that propelled Franklin Delano Roosevelt towards the New Deal and John F. Kennedy to the New Frontier."	601	"6"
"We will provide immediate relief to working people who have lost their jobs, families who are in danger of losing their homes, and those who – no matter how hard they work – are seeing prices go up more than their income."	408	"4"
"We will invest in America again –in world-class public education, in our infrastructure, and in green technology –so that our economy can generate the good, high-paying jobs of the future."	408	"4"
"We will end the outrage of unaffordable, unavailable health care, protect Social Security, and help Americans save for retirement."	504	"5"
"And we will harness American ingenuity to free this nation from the tyranny of oil."	408	"4"
"The Democratic Party believes that there is no more important priority than renewing American leadership on the world stage."	305	"3"
"This will require diplomatic skill as capable as our military might."	305	"3"
"Instead of refusing to confront our most pressing threats, we will use all elements of American power to keep us safe, prosperous, and free."	601	"6"
"Instead of alienating our nation from the world, we will enable America –once again –to lead."	305	"3"
"For decades, Americans have been told to act for ourselves, by ourselves, on our own."	601	"6"
"Democrats reject this recipe for division and failure."	305	"3"
"Today, we commit to renewing our American community by recognizing that solutions to our greatest challenges can only be rooted in common ground and the strength of our civic life."	305	"3"
"The American people do not want government to solve all our problems; we know that personal responsibility, character, imagination, diligence, hard work and faith ultimately determine individual achievement."	603	"6"
"But we also know that at every turning point in our nation’s history, we have demonstrated our love of  country by uniting to overcome our challenges—whether ending slavery, fighting two world wars for the cause of freedom or sending a man to the moon."	601	"6"
"Today, America must unite again –to help our most vulnerable residents get back on their feet and to restore the vitality of both urban centers and family farms –because the success of each depends on the success of the other."	503	"5"
"And America must challenge us again –to serve our country and to meet our responsibilities –whether in our families or local governments; our civic organizations or places of worship."	603	"6"
"Americans have been promised change before. And too often we have been disappointed."	305	"3"
"We believe we must change not just our policies, but our politics as well."	305	"3"
"We cannot keep doing the same things and expect to get different results."	305	"3"
"That is why today we come together not only to prevent a third Bush term."	305	"3"
"Today, we pledge to renew American democracy by promoting the use of new technologies to make it easier for Americans to participate in their government."	411	"4"
"We will shine a light on government spending and Washington lobbying –so that every American is empowered to be a watchdog and a whistle blower."	303	"3"
"We are the party of inclusion and respect differences of perspective and belief."	607	"6"
"And so, even when we disagree, we will work together to move this country forward."	305	"3"
"There can be no Republican or Democratic ideas, only policies that are smart and right and fair and good for America –and those that aren’t."	305	"3"
"We will form a government as decent, candid, purposeful and compassionate as the American people themselves."	305	"3"
"This is the essence of what it means to be a patriot: not only to declare our love of this nation, but to show it –by our deeds, our priorities, and the commitments we keep."	203	"2"
"If we choose to change, just imagine what we can do."	305	"3"
"What makes America great has never been its perfection, but the belief that it can be made better."	601	"6"
"And that people who love this country can change it."	601	"6"
"This is the country of Abraham Lincoln, Susan B. Anthony, Martin Luther King Jr., Cesar Chavez, and Rosa Parks – people who had the audacity to believe that their country could be a better place, and the courage to work to make it so."	601	"6"
"And this Party has always made the biggest difference in the lives of the American people when we summoned the entire nation to a common purpose."	305	"3"
"We have a choice to make."	305	"3"
"We can choose to stay the current failed course."	305	"3"
"Or we can choose a path that builds upon the best of who and what we are, that reflects our highest values."	305	"3"
"We can have more of the last eight years, or we can rise together and create a new kind of government."	305	"3"
"The time for change has come, and America must seize it."	305	"3"
"I. Renewing the American Dream"	NA	NA
"For months the state of our economy has dominated the headlines–and the news has not been good."	408	"4"
"The sub-prime lending debacle has sent the housing market into a tailspin, and many Americans have lost their homes."	414	"4"
"By early August, the economy had shed 463,000 jobs over seven straight months of job loss."	414	"4"
"Health, gas and food prices are rising dramatically."	411	"4"
"But the problem goes deeper than the current crisis."	706	"7"
"Families have seen their incomes go down even as they have been working longer hours and as productivity has grown."	706	"7"
"At the same time, health costs have risen while companies have shed health insurance coverage and pensions."	606	"6"
"Worse yet, too many Americans have lost confidence in the fundamental American promise that our children will have a better life than we do."	601	"6"
"We are living through an age of fundamental economic transformation."	408	"4"
"Technology has changed the way we live and the way the world does business."	411	"4"
"The collapse of the Soviet Union and the advance of capitalism have vanquished old challenges to America’s global leadership, but new challenges have emerged."	109	"1"
"Today, jobs and industries can move to any country with an Internet connection and willing workers."	411	"4"
"Leadership on these issues has been sorely lacking these past eight years."	305	"3"
"In the 1990s, under Bill Clinton’s leadership, employment and incomes grew and we built up a budget surplus."	305	"3"
"However, our current President pursued misguided policies, missed opportunities, and maintained a rigid, ideological adherence to discredited ideas."	305	"3"
"Our surplus is now a deficit, and almost a decade into this century, we still have no coherent national strategy to compete in a global economy."	305	"3"
"The price tag for these failures is being passed on to our families."	305	"3"
"From the mother working two jobs to pay the bills and the couple struggling to care for young children and aging parents, to the tens of millions of Americans without health insurance and the workers who have seen their jobs shipped overseas, too many Americans have been invisible to our current President and his party for too long."	305	"3"
"The people who do the work in America have never been invisible to the Democratic Party."	305	"3"
"It is time to make the American Dream real for them again."	601	"6"
"We need a government that stands up for the hopes, values, and interests of working people, and gives everyone willing to work hard the chance to make the most of their God-given potential."	305	"3"
"In platform hearings around the country, Americans reaffirmed our belief that this great nation can compete–and succeed–in the 21st century but only if we take a new approach."	305	"3"
"One that is both innovative and faithful to the basic economic principles that made this country great."	408	"4"
"We Democrats want–and we hereby pledge–a government led by Barack Obama that looks out for families in the new economy with health care, retirement security, and help, especially in bad times."	503	"5"
"Investment in our country–in energy, education, infrastructure, science."	411	"4"
"A ladder of opportunity for all."	503	"5"
"Democrats see these as the pillars of a more competitive and fair economy that will allow all Americans to take advantage of the opportunities of our new era."	305	"3"
"Jumpstart the Economy and Provide Middle Class Americans Immediate Relief"	NA	NA
"We will provide an immediate energy rebate to American families struggling with the record price of gasoline and the skyrocketing cost of other necessities – to spend on those basic needs and energy efficient measures."	402	"4"
"We will devote $50 billion to jumpstarting the economy, helping economic growth, and preventing another one million jobs from being lost."	402	"4"
"This will include assistance to states and localities to prevent them from having to cut their vital services like education, health care, and infrastructure."	504	"5"
"We will quickly implement the housing bill recently passed by Congress and ensure that states and localities that have been hard-hit by the housing crisis can avoid cuts in vital services."	504	"5"
"We support investments in infrastructure to replenish the highway trust fund, invest in road and bridge maintenance and fund new, fast-tracked projects to repair schools."	411	"4"
"We believe that it is essential to take immediate steps to stem the loss of manufacturing jobs."	408	"4"
"Taking these immediate measures will provide good jobs and will help the economy today."	408	"4"
"But generating truly shared prosperity is only possible if we also address our most significant long-run challenges like the rising cost of health care, energy, and education."	503	"5"
"Empowering Families for a New Era"	NA	NA
"Many Americans once worked 40 hours a week for 40 years for a single employer who provided pay to support a family, health insurance, and a pension."	701	"7"
"Today, Americans change jobs more frequently than ever and compete against workers around the world for pay and benefits."	701	"7"
"The face of America’s families is also changing, and so are the challenges they confront."	603	"6"
"Today, in the majority of families, all parents work."	603	"6"
"Millions of working Americans are also members of a new “sandwich generation,” playing dual roles as working parents and working children, responsible not only for their kids but for their aging mothers and fathers."	603	"6"
"They are working longer hours than ever, while at the same time having to meet a new and growing set of caregiving responsibilities."	603	"6"
"Our government’s policies–many designed in the New Deal era–have not kept up with the new economy and the changing nature of people’s lives."	305	"3"
"Democrats believe that it is time for our policies and our expectations to catch up."	305	"3"
"From health care to pensions, from unemployment insurance to paid leave, we need to modernize our policies in order to provide working Americans the tools they need to meet new realities and challenges."	701	"7"
"Affordable, Quality Health Care Coverage for All Americans"	NA	NA
"If one thing came through in the platform hearings, it was that Democrats are united around a commitment that every American man, woman, and child be guaranteed affordable, comprehensive healthcare."	305	"3"
"In meeting after meeting, people expressed moral outrage with a health care crisis that leaves millions of Americans–including nine million children–without health insurance and millions more struggling to pay rising costs for poor quality care."	503	"5"
"Half of all personal bankruptcies in America are caused by medical bills."	706	"7"
"We spend more on health care than any other country, but we’re ranked 47th in life expectancy and 43rd in child mortality."	706	"7"
"Our nation faces epidemics of obesity and chronic diseases as well as new threats like pandemic flu and bioterrorism."	706	"7"
"Yet despite all of this, less than four cents of every health care  dollar is spent on prevention and public health."	706	"7"
"The American people understand that good health is the foundation of individual achievement and economic prosperity."	601	"6"
"Ensuring quality, affordable health care for every single American is essential to children’s education, workers’ productivity and businesses’ competitiveness."	503	"5"
"We believe that covering all is not just a moral imperative, but is necessary to making our health system workable and affordable."	503	"5"
"Doing so would end cost- shifting from the uninsured, promote prevention and wellness, stop insurance discrimination, help eliminate health care disparities, and achieve savings through competition, choice, innovation, and higher quality care."	503	"5"
"While there are different approaches within the Democratic Party about how best to achieve the commitment of covering every American, with everyone in and no one left out, we stand united to achieve this fundamental objective through the legislative process."	503	"5"
"We therefore oppose those who advocate policies that would thrust millions of Americans out of their current private employer-based coverage without providing them access to an affordable, comprehensive alternative, thereby subjecting them to the kind of insurance discrimination that leads to excessive premiums or coverage denials for older and sicker Americans."	305	"3"
"We reject those who have steadfastly opposed insurance coverage expansions for millions of our nation’s children while they have protected overpayments to insurers and allowed underpayments to our nation’s doctors."	305	"3"
"Our vision of a strengthened and improved health care system for all Americans stands in stark contrast to the Republican Party’s and includes:"	305	"3"
"Covering All Americans and Providing Real Choices of Affordable Health Insurance Options."	NA	NA
"Families and individuals should have the option of keeping the coverage they have or choosing from a wide array of health insurance plans, including many private health insurance options and a public plan."	706	"7"
"Coverage should be made affordable for all Americans with subsidies provided through tax credits and other means."	504	"5"
"Shared Responsibility."	NA	NA
"Health care should be a shared responsibility between employers, workers, insurers, providers and government."	504	"5"
"All Americans should have coverage they can afford; employers should have incentives to provide coverage to their workers; insurers and providers should ensure high quality affordable care; and the government should ensure that health insurance is affordable and provides meaningful coverage."	706	"7"
"As affordable coverage is made available, individuals should purchase health insurance and take steps to lead healthy lives."	706	"7"
"An End to Insurance Discrimination."	NA	NA
"Health insurance plans should accept all applicants and be prohibited from charging different prices based on pre-existing conditions."	503	"5"
"They should compete on the cost of providing health care and the quality of that care, not on their ability to avoid or over-charge people who are or may get sick."	408	"4"
"Premiums collected by insurers should be primarily dedicated to care, not profits."	408	"4"
"Portable Insurance."	NA	NA
"No one should have to worry about losing health coverage if they change or lose their job."	601	"6"
"Meaningful Benefits."	NA	NA
"Families should have health insurance coverage similar to what Members of Congress enjoy."	706	"7"
"They should not be forced to bear the burden of skyrocketing premiums, unaffordable deductibles or benefit limits that leave them at financial risk when they become sick."	504	"5"
"We will finally achieve long-overdue mental health and addiction treatment parity."	706	"7"
"An Emphasis on Prevention and Wellness."	NA	NA
"Chronic diseases account for 70 percent of the nation’s overall health care spending."	705	"7"
"We need to promote healthy lifestyles and disease prevention and management especially with health promotion programs at work and physical education in schools."	506	"5"
"All Americans should be empowered to promote wellness and have access to preventive services to impede the development of costly chronic conditions, such as obesity, diabetes, heart disease, and hypertension."	503	"5"
"Chronic-care and behavioral health management should be assured for all Americans who require care coordination."	503	"5"
"This includes assistance for those recovering from traumatic, life-altering injuries and illnesses as well as those with mental health and substance use disorders."	706	"7"
"We should promote additional tobacco and substance abuse prevention."	603	"6"
"A Modernized System That Lowers Cost and Improves the Quality of Care."	NA	NA
"As Americans struggle with increasing health care costs, we believe a strengthened, uniquely American system should provide the highest-quality, most cost-effective care."	601	"6"
"This should be advanced by aggressive efforts to cut costs and eliminate waste from our health system, which will save the typical family up to $2,500 per year."	402	"4"
"These efforts include driving adoption of state-of-the-art health information technology systems, privacy-protected electronic medical records, reimbursement incentives, and an independent organization that reviews drugs, devices, and procedures to ensure that people get the right care at the right time."	411	"4"
"By working with the medical community to improve quality, these reforms will have the added benefit of reducing the prevalence of lawsuits related to medical errors."	605	"6"
"We should increase competition in the insurance and drug markets; remove some of the cost burden of catastrophic illness from employers and their employees; and lower drug costs by allowing Medicare to negotiate for lower prices, permitting importation of safe medicines from other developed countries, creating a generic pathway for biologic drugs, and increasing use of generics in public programs."	403	"4"
"A Strong Health Care Workforce."	NA	NA
"Through training and reimbursement incentives, there must be a commitment to sufficient and well-qualified primary care physicians and nurses as well as direct care workers."	411	"4"
"Commitment to the Elimination of Disparities in Health Care."	NA	NA
"We must end health care disparities among minorities, American Indians, women, and low-income people through better research and better funded community-based health centers."	706	"7"
"We will make our health care system culturally sensitive and accessible to those who speak different languages."	607	"6"
"We will support programs that diversify the health are workforce to ensure culturally effective care."	607	"6"
"We will also address the social determinants that fuel health disparities, and empower the communities most impacted by providing them the resources and technical assistance to be their own agents of wellness."	503	"5"
"We will speed up and improve reimbursements by the Indian Health Service."	402	"4"
"Public Health and Research."	NA	NA
"Health and wellness is a shared responsibility among individuals and families, school systems, employers, the medical and public health workforce and government at all levels."	603	"6"
"We will ensure that Americans can benefit from healthy environments that allow them to pursue healthy choices."	501	"5"
"Additionally, as childhood obesity rates have more than doubled in the last 30 years, we will work to ensure healthy environments in our schools."	501	"5"
"We must fight HIV/AIDS in our country and around the world."	107	"1"
"We support increased funding into research, care and prevention of HIV/AIDS."	411	"4"
"We support a comprehensive national strategic plan to combat HIV/AIDS and a Ryan White Care Act designed and funded to meet today’s epidemic, that ends ADAP waiting lists and that focuses on the communities such as African Americans and Latino Americans who are disproportionately impacted through an expanded and renewed minority HIV/AIDS initiative, and on new epicenters such as the Southern part of our nation."	705	"7"
"We support providing Medicaid coverage to more low-income HIV-positive Americans."	503	"5"
"Health care reform must also provide adequate incentives for innovation to ensure that Americans have access to evidence-based and cost-effective health care."	411	"4"
"Research should be based on science, not ideology."	411	"4"
"For the millions of Americans and their families suffering from debilitating physical and emotional effects of disease, time is a precious commodity, and it is running out."	603	"6"
"Yet, over the past eight years, the current Administration has not only failed to promote biomedical and stem cell research, it has actively stood in the way of that research."	305	"3"
"We cannot tolerate any further inaction or obstruction."	305	"3"
"We need to invest in biomedical research and stem cell research, so that we are at the leading edge of prevention and treatment."	411	"4"
"This includes adequate funding for research into diseases such as heart disease, Alzheimer’s disease, Parkinson’s disease, multiple sclerosis, breast cancer, diabetes, autism and other common and rare diseases, and disorders."	411	"4"
"We will increase funding to the National Institutes of Health, the National Science Foundation, and the National Cancer Institutes."	504	"5"
"A Strong Partnership with States, Local Governments, Tribes, and Territories."	NA	NA
"Recognizing that considerable progress in health care delivery has been pioneered by state and local governments, necessary nationwide reform should build on successful state models of care."	403	"4"
"A Strong Safety-Net."	NA	NA
"Achieving our health goals requires strengthening the safety-net programs, safety-net providers, and public health infrastructure to fill in gaps and ensure public safety in times of disease outbreak or disaster."	504	"5"
"Empowerment and Support of Older Americans and People with Disabilities."	NA	NA
"Seniors and people with disabilities should have access to quality affordable long-term care services, and those services should be readily available at home and in the community."	705	"7"
"Americans should not be forced to choose between getting care and living independent and productive lives."	706	"7"
"Reproductive Health Care."	NA	NA
"We oppose the current Administration’s consistent attempts to undermine a woman’s ability to make her own life choices and obtain reproductive health care, including birth control."	706	"7"
"We will end health insurance discrimination against contraception and provide compassionate care to rape victims."	706	"7"
"We will never put ideology above women’s health"	706	"7"
"Fiscal Responsibility."	NA	NA
"As we improve and strengthen our health care system, we must do so in a fiscally responsible way that ensures that we get value for the dollars that are invested."	408	"4"
"Retirement and Social Security"	NA	NA
"We will make it a priority to secure for hardworking families the part of the American Dream that includes a secure and healthy retirement."	601	"6"
"Individuals, employers, and government must all play a role."	601	"6"
"We will adopt measures to preserve and protect existing public and private pension plans."	402	"4"
"In the 21 st century, Americans also need better ways to save for retirement."	706	"7"
"We will automatically enroll every worker in a workplace pension plan that can be carried from job to job and we will match savings for working families who need the help."	701	"7"
"We will make sure that CEO`s can’t dump workers’ pensions with one hand while they line their own pockets with the other."	701	"7"
"At platform hearings, Americans made it clear they feel that’s an outrage, and it’s time we had leaders who treat it as an outrage."	701	"7"
"We will ensure all employees who have company pensions receive annual disclosures about their pension fund’s investments, including full details about which projects have been invested in, the performance of those investments and appropriate details about probable future investments strategies."	701	"7"
"We also will reform corporate bankruptcy laws so that workers’ retirements are a priority for funding and workers are not left with worthless IOU’s after years of service."	605	"6"
"Finally, we will eliminate all federal income taxes for seniors making less than $50,000 per year."	402	"4"
"Lower- and middle-income seniors already have to worry about high health care and energy costs; they should not have to worry about tax burdens as well."	402	"4"
"We reject the notion of the presumptive Republican nominee that Social Security is a disgrace; we believe that it is indispensable."	504	"5"
"We will fulfill our obligation to strengthen Social Security and to make sure that it provides guaranteed benefits Americans can count on, now and in future generations."	504	"5"
"We will not privatize it."	413	"4"
"Good Jobs with Good Pay"	NA	NA
"In the platform hearings, Americans expressed dismay that people who are willing to study and work cannot get a job that pays enough to live on in the current economy."	701	"7"
"Democrats are committed to an economic policy that produces good jobs with good pay and benefits."	305	"3"
"That is why we support the right to organize."	701	"7"
"We know that when unions are allowed to do their job of making sure that workers get their fair share, they pull people out of poverty and create a stronger middle class."	701	"7"
"We will strengthen the ability of workers to organize unions and fight to pass the Employee Free Choice Act."	701	"7"
"We will restore pro-worker voices to the National Labor Relations Board and the National Mediation Board and we support overturning the NLRB’s and NMB’s many harmful decisions that undermine the collective bargaining rights of millions of workers."	701	"7"
"We will ensure that federal employees, including public safety officers who put their lives on the line every day, have the right to bargain collectively, and we will fix the broken bargaining process at the Federal Aviation Administration."	405	"4"
"We will fight to ban the permanent replacement of striking workers, so that workers can stand up for themselves without worrying about losing their livelihoods."	701	"7"
"We will continue to vigorously oppose “Right-to-Work” Laws and “paycheck protection” efforts whenever they are proposed."	405	"4"
"Suspending labor protections during national emergencies compounds the devastation from the emergency."	405	"4"
"We opposed suspension of Davis-Bacon following Hurricane Katrina, and we support broad application of Davis-Bacon worker protections to all federal projects."	405	"4"
"We will stop the abuse of privatization of government jobs."	303	"3"
"We will end the exploitative practice of employers wrongly misclassifying workers as independent contractors."	304	"3"
"The Bush Administration Department of Labor has failed in its obligation to stand up and protect American workers."	305	"3"
"Our Department of Labor will restore and expand overtime rights for millions of Americans, and will actively enforce wage and hour laws."	701	"7"
"The Bush Administration is the only administration that has never voluntarily issued a significant final standard for workplace safety."	305	"3"
"Our Occupational Safety and Health Administration will adopt and enforce comprehensive safety standards."	305	"3"
"Right now, far too many workers – especially those in the construction and mining industries-risk their lives every day just by going to work."	701	"7"
"In America, if someone is willing to work, he or she should be able to make ends meet and have the opportunity to prosper."	601	"6"
"To that end, we will raise the minimum wage and index it to inflation, and increase the Earned Income Tax Credit so that workers can support themselves and their families."	402	"4"
"We will modernize the unemployment insurance program to close gaps and extend benefits to the workers who now fall outside it."	504	"5"
"Work and Family"	NA	NA
"Over the last few decades, fundamental changes in the way we work and live have trapped too many American families between an economy that’s gone global and a government that’s gone AWOL."	305	"3"
"It’s time we stop just talking about family values, and start pursuing policies that truly value families."	603	"6"
"We will expand the Family and Medical Leave Act to reach millions more workers than are currently covered, and we will enable workers to take leave to care for an elderly parent, address domestic violence and sexual assault, or attend a parent-teacher conference."	603	"6"
"Today 78 percent of the workers who are eligible for leave cannot take it because it’s unpaid, so we will work with states and make leave paid."	701	"7"
"We will also ensure that every American worker is able earn up to seven paid sick days to care for themselves or an ill family member."	402	"4"
"And we will encourage employers to provide flexible work arrangements—with the federal government leading by example."	405	"4"
"We will expand the childcare tax credit, provide every child access to quality, affordable early childhood education, and double funding for after-school and summer learning opportunities for children."	402	"4"
"We will provide assistance to those who need long-term care and to the working men and women of this country who do the heroic job of providing care for their aging relatives."	504	"5"
"All Americans who are working hard and taking responsibility deserve the chance to do right by their loved ones."	601	"6"
"That’s the America we believe in."	601	"6"
"Poverty"	NA	NA
"When Bobby Kennedy saw the shacks and poverty along the Mississippi Delta, he asked, “How can a country like this allow it?”"	601	"6"
"Forty years later, we’re still asking that question."	601	"6"
"The most American answer we can give is: “We won’t allow it.”"	601	"6"
"One in eight Americans lives in poverty today all across our country, in our cities, in our suburbs, and in our rural communities."	705	"7"
"Most of these people work but still can’t pay the bills."	701	"7"
"Nearly thirteen million of the poor are children."	706	"7"
"We can’t allow this kind of suffering and hopelessness to exist in our country."	601	"6"
"It’s not who we are."	601	"6"
"Working together, we can cut poverty in half within ten years."	601	"6"
"We will provide all our children a world-class education, from early childhood through college."	706	"7"
"We will develop innovative transitional job programs that place unemployed people into temporary jobs and train them for permanent ones."	411	"4"
"To help workers share in our country’s productivity, we’ll expand the Earned Income Tax Credit, and raise the minimum wage and index it to inflation."	402	"4"
"The majority of adults in poverty are women, and to combat poverty we must work for fair pay, support for mothers, and policies that promote responsible fatherhood."	706	"7"
"We’ll start letting our unions do what they do best again—organize and lift up our workers."	701	"7"
"We’ll make sure that every American has affordable health care that stays with them no matter what happens."	503	"5"
"We will assist American Indian communities, since 10 of the 20 poorest counties in the United States are on Indian lands."	607	"6"
"We’ll bring businesses back to our inner-cities, increase the supply of affordable housing, and establish “promise neighborhoods” that provide comprehensive services in areas of concentrated poverty."	403	"4"
"These will be based on proven models, such as the Harlem Children’s Zone in New York City, which seeks to engage all residents with tangible goals such as attendance at parenting schools, retention of meaningful employment, college for every participating student, and strong physical and mental health outcomes for children."	706	"7"
"The Democratic Party believes that the fight against poverty must be national priority."	601	"6"
"Eradicating poverty will require the sustained commitment of the President of the United States, and we believe that the White House must offer leadership and resources to advance this agenda."	305	"3"
"Opportunity for Women"	NA	NA
"We, the Democratic Party, are the party that has produced more women Governors, Senators, and Members of Congress than any other."	305	"3"
"We have produced the first woman Secretary of State, the first woman Speaker of the House of Representatives, and, in 2008, Hillary Rodham Clinton, the first woman in American history to win presidential primaries in our nation."	305	"3"
"We believe that our daughters should have the same opportunities as our sons; our party is proud that we have put eighteen million cracks in the highest glass ceiling."	706	"7"
"We know that when America extends its promise to women, the result is increased opportunity for families, communities, and aspiring people everywhere."	706	"7"
"When women still earn 76 cents for every dollar that a man earns, it doesn’t just hurt women; it hurts families and children."	706	"7"
"We will pass the “Lilly Ledbetter” Act, which will make it easier to combat pay discrimination; we will pass the Fair Pay Act; and we will modernize the Equal Pay Act."	706	"7"
"We will invest in women-owned small businesses and remove the capital gains tax on startup small businesses."	403	"4"
"We will support women in math and science, increasing American competitiveness by retaining the best workers in these fields, regardless of gender."	506	"5"
"We recognize that women still carry the majority of childrearing responsibilities, so we have created a comprehensive work and family agenda."	706	"7"
"We recognize that women are the majority of adults who make the minimum wage, and are particularly hard-hit by recession and poverty; we will protect Social Security, increase the minimum wage, and expand programs to combat poverty and improve education so that parents and children can lift themselves out of poverty."	504	"5"
"We will work to combat violence against women."	706	"7"
"We believe that standing up for our country means standing up against sexism and all intolerance."	706	"7"
"Demeaning portrayals of women cheapen our debates, dampen the dreams of our daughters, and deny us the contributions of too many."	706	"7"
"Responsibility lies with us all."	606	"6"
"Investing in American Competitiveness"	NA	NA
"At a critical moment of transition like this one, Americans understand that, more than anything else, success will depend on the dynamism, determination, and innovation of the American people."	606	"6"
"But success also depends on national leadership that can move this country forward with confidence and a common purpose."	305	"3"
"In platform hearings, Americans called on their government to “invest back” in them and their country."	403	"4"
"That’s what Lincoln did when he pushed for a transcontinental railroad, incorporated our National Academy of Sciences, passed the Homestead Act and created the land grant colleges."	305	"3"
"That’s what Franklin Delano Roosevelt did in creating the Tennessee Valley Authority, electrifying rural America and investing in an Arsenal of Democracy."	305	"3"
"That’s the kind of leadership we intend to provide."	305	"3"
"New American Energy"	NA	NA
"In the local platform hearings, Americans talked about the importance of energy to the economy, to national security, and to the health of our planet."	501	"5"
"Speaking loud and clear, they said that America needs a new bold and sustainable energy policy to meet the challenges of our time."	501	"5"
"In the past, America has been stirred to action when faced with new threats to our national security, or new competitive conditions that undercut our economic leadership."	601	"6"
"The energy threat we face today may be less immediate than threats from dictators, but it is as real and as dangerous."	501	"5"
"The dangers are eclipsed only by the opportunities that would come with change."	411	"4"
"We know that the jobs of the 2 1 st century will be created in developing new energy solutions."	411	"4"
"The question is whether these jobs will be created in America, or abroad."	601	"6"
"We should use government procurement policies to incentivize domestic production of clean and renewable energy."	501	"5"
"Already, we’ve seen countries like Germany, Spain and Brazil reap the benefits of economic growth from clean energy."	501	"5"
"But we are decades behind in confronting this challenge."	501	"5"
"For the sake of our security–and for every American family that is paying the price at the pump– we will break our addiction to foreign oil."	601	"6"
"In platform hearings around the country, Americans called for a Manhattan or Apollo Project-level commitment to achieve energy independence."	411	"4"
"We hear that call and we Democrats commit to fast-track investment of billions of dollars over the next ten years to establish a green energy sector that will create up to five million jobs."	501	"5"
"Good jobs, like those in Pennsylvania where workers manufacture wind turbines, the ones in the factory in Nevada producing components for solar energy generation plants, or the jobs that will be created when plug-in hybrids start rolling off the assembly line in Michigan."	501	"5"
"This transition to a clean- energy industry will also benefit low-income communities: we’ll create an energy-focused youth job program to give disadvantaged youth job skills for this emerging industry."	501	"5"
"It will not be easy, but neither was getting to the moon."	411	"4"
"We know we can’t drill our way to energy independence and so we must summon all of our ingenuity and legendary hard work and we must invest in research and development, and deployment of renewable energy technologies—such as solar, wind, geothermal, as well as technologies to store energy through advanced batteries and clean up our coal plants."	411	"4"
