"quasi"	"cmpcode"	"cmpdomain"
"This platform affirms that America has always been a place of grand dreams and even grander realities;"	601	"6"
"and so it will be again, if we return government to its proper role, making it smaller and smarter."	303	"3"
"If we restructure government’s most important domestic programs to avoid their fiscal collapse."	303	"3"
"If we keep taxation, litigation, and regulation to a minimum."	401	"4"
"If we celebrate success, entrepreneurship, and innovation."	401	"4"
"If we lift up the middle class."	704	"7"
"If we hand over to the next generation a legacy of growth and prosperity,"	410	"4"
"rather than entitlements and indebtedness."	401	"4"
"That same commitment must be present both here at home and abroad."	601	"6"
"We are a party that knows the difference between international acclaim and world leadership."	107	"1"
"We will lift the torch of freedom and democracy to inspire all those who would be free."	202	"2"
"As President Reagan issued the clarion call to “tear down this Wall,” so must we always stand against tyranny and oppression."	201	"2"
"We will always support and cherish our men and women in uniform who defend our liberties with their lives."	104	"1"
"As we embark upon this critical mission, we are not without guidance."	0	"0"
"We possess an owner’s manual: the Constitution of the United States, the greatest political document ever written."	203	"2"
"That sacred document shows us the path forward."	203	"2"
"Trust the people."	202	"2"
"Limit government."	303	"3"
"Respect federalism."	301	"3"
"Guarantee opportunity, not outcomes."	401	"4"
"Adhere to the rule of law."	605	"6"
"Reaffirm that our rights come from God,"	703	"7"
"are protected by government,"	703	"7"
"and that the only just government is one that truly governs with the consent of the governed."	202	"2"
"The principles written in the Constitution are secured by the character of the American people."	601	"6"
"President George Washington said in his first inaugural address: “The propitious smiles of Heaven can never be expected on a nation that disregards the eternal rules of order and right which Heaven itself has ordained.”"	0	"0"
"Values matter."	603	"6"
"Character counts."	601	"6"
"Mitt Romney and Paul Ryan understand these great truths."	305	"3"
"They share a positive vision for America – a vision of America renewed and strong."	305	"3"
"They know America’s best days lay ahead."	601	"6"
"It will take honest results oriented, conservative leadership to enact good policies for our people."	305	"3"
"They will provide it."	305	"3"
"We respectfully submit this platform to the American people."	0	"0"
"It is both a vision of where we are headed and an invitation to join us in that journey."	305	"3"
"It is about the great dreams and opportunities that have always been America"	601	"6"
"and must remain the essence of America for generations to come."	601	"6"
"May God continue to shed his grace on the United States of America."	603	"6"
"Table  of  Contents 1   Restoring  the  American  Dream:  Rebuilding  the  Economy  and  Creating  Jobs 9   We  The  People:  A  Restoration  of  Constitutional  Government 15   America’s  Natural  Resources: Energy,  Agriculture  and  the  Environment 21 Reforming  Government  to  Serve  the  People 31 Renewing  American  Values  to  Build  Healthy  Families,  Great  Schools  and  Safe  Neighborhoods 39   American  Exceptionalism"	NA	NA
"Restoring the American Dream: Rebuilding the Economy and Creating Jobs"	NA	NA
"We are the party of maximum economic freedom and the prosperity freedom makes possible."	401	"4"
"Prosperity is the product of selfdiscipline, work, savings, and investment by individual Americans,"	401	"4"
"but it is not an end in itself."	0	"0"
"Prosperity provides the means by which individuals and families can maintain their independence from government,"	0	"0"
"raise their children by their own values,"	603	"6"
"practice their faith,"	603	"6"
"and build communities of selfreliant neighbors."	606	"6"
"It is also the means by which the United States is able to assert global leadership."	107	"1"
"The vigor of our economy makes possible our military strength"	410	"4"
"and is critical to our national security."	104	"1"
"This year’s election is a chance to restore the proven values of the American free enterprise system."	401	"4"
"We offer our Republican vision of a free people using their Godgiven talents, combined with hard work, selfreliance, ethical conduct, and the pursuit of opportunity, to achieve great things for themselves and the greater community."	601	"6"
"Our vision of an opportunity society stands in stark contrast to the current Administration’s policies that expand entitlements and guarantees,"	305	"3"
"create new public programs,"	505	"5"
"and provide expensive government bailouts."	401	"4"
"That road has created a culture of dependency,"	505	"5"
"bloated government,"	0	"0"
"and massive debt."	414	"4"
"Republicans believe in the Great American Dream, with its economics of inclusion, enabling everyone to have a chance to own, invest, build, and prosper."	601	"6"
"It is the opposite of the policies which, for the last three and a half years, have stifled growth, destroyed jobs, halted investment, created unprecedented uncertainty, and prolonged the worst economic downturn since the Great Depression."	305	"3"
"Those policies have placed the federal government in the driver’s seat,"	301	"3"
"rather than relying on energetic and entrepreneurial Americans to rebuild the economy from the ground up."	401	"4"
"Excessive taxation and regulation impede economic development."	401	"4"
"Lowering taxes promotes substantial economic growth"	410	"4"
"and reducing regulation encourages business formation and job creation."	401	"4"
"Knowing that, a Republican President and Congress will jumpstart an economic renewal that creates opportunity,"	408	"4"
"rewards work and saving,"	414	"4"
"and unleashes the productive genius of the American people."	410	"4"
"Because the GOP is the Great Opportunity Party, this is our pledge to workers without jobs,"	701	"7"
"families without savings,"	603	"6"
"and neighborhoods without hope:"	606	"6"
"together we can get our country back on track,"	305	"3"
"expanding its bounty,"	601	"6"
"renewing its faith,"	603	"6"
"and fulfilling its promise of a better life."	503	"5"
"Job Creation: Getting Americans Back to Work"	NA	NA
"The best jobs program is economic growth."	410	"4"
"We do not offer yet another madeinWashington package of subsidies and spending to create temporary or artificial jobs."	401	"4"
"We want much more than that."	408	"4"
"We want a roaring job market to match a roaring economy."	701	"7"
"Instead, what this Administration has given us is 42 consecutive months of unemployment above 8 percent, the longest period of high unemployment since the Great Depression."	701	"7"
"Republicans will pursue free market policies that are the surest way to boost employment"	401	"4"
"and create job growth and economic prosperity for all."	410	"4"
"In all the sections that follow, as well as elsewhere in this platform, we explain what must be done to achieve that goal."	0	"0"
"The tax system must be simplified."	303	"3"
"Government spending and regulation must be reined in."	401	"4"
"American companies must be more competitive in the world market,"	407	"4"
"and we must be aggressive in promoting U.S. products abroad and securing open markets for them."	407	"4"
"A federalStateprivate partnership must invest in the nation’s infrastructure: roads, bridges, airports, ports, and water systems, among others."	411	"4"
"Federal training programs have to be overhauled and made relevant for the workplace of the twentyfirst century."	411	"4"
"Potential employers need certainty and predictability for their hiring decisions,"	408	"4"
"and the team of a Republican President and Congress will create the confidence that will get Americans back to work."	701	"7"
"Small Business and Entrepreneurship"	NA	NA
"America’s small businesses are the backbone of the U.S. economy, employing tens of millions of workers."	402	"4"
"Small businesses create the vast majority of jobs, patents, and U.S. exporters."	402	"4"
"Under the current Administration, we have the lowest rate of business startups in thirty years."	305	"3"
"Small businesses are the leaders in the world’s advances in technology and innovation,"	411	"4"
"and we pledge to strengthen that role and foster small business entrepreneurship."	402	"4"
"While small businesses have significantly contributed to the nation’s economic growth, our government has failed to meet its small business goals year after year"	410	"4"
"and failed to overcome burdensome regulatory, contracting, and capital barriers."	401	"4"
"This impedes their growth."	410	"4"
"We will reform the tax code to allow businesses to generate enough capital to grow and create jobs for our families, friends and neighbors all across America."	402	"4"
"We will encourage investments in small businesses."	402	"4"
"We will create an environment where adequate financing and credit are available to spur manufacturing and expansion."	402	"4"
"We will serve as aggressive advocates for small businesses."	408	"4"
"Tax Relief to Grow the Economy and Create Jobs"	NA	NA
"Taxes, by their very nature, reduce a citizen’s freedom."	201	"2"
"Their proper role in a free society should be to fund services that are essential and authorized by the Constitution, such as national security,"	203	"2"
"and the care of those who cannot care for themselves."	705	"7"
"We reject the use of taxation to redistribute income,"	401	"4"
"fund unnecessary or ineffective programs,"	303	"3"
"or foster the crony capitalism that corrupts both politicians and corporations."	304	"3"
"Our goal is a tax system that is simple, transparent, flatter, and fair."	303	"3"
"In contrast, the current IRS code is like a patchwork quilt, stitched together over time from mismatched pieces, and is beyond the comprehension of the average citizen."	303	"3"
"A reformed code should promote simplicity and coherence,"	303	"3"
"savings and innovation,"	414	"4"
"increase American competitiveness,"	407	"4"
"and recognize the burdens on families with children."	603	"6"
"To that end, we propose to:Extend  the  2001  and  2003  tax  relief packages—commonly  known  as  the  Bush  tax cuts—pending   reform  of  the  tax  code;"	402	"4"
",  to  keep tax  rates  from  rising  on  income,  interest,  dividends,  and  capital  gains"	401	"4"
"Reform  the  tax  code  by  reducing  marginal tax  rates  by  20  percent  acrosstheboard  in  a revenueneutral  manner;"	401	"4"
"Eliminate  the  taxes  on  interest,  dividends, and  capital  gains  altogether  for  lower  and middleincome  taxpayers;"	401	"4"
"End  the  Death  Tax;  "	401	"4"
"and Repeal  the  Alternative  Minimum  Tax."	401	"4"
"American Competitiveness in a Global Economy"	NA	NA
"American businesses now face the world’s highest corporate tax rate."	402	"4"
"It reduces their worldwide competitiveness,"	410	"4"
"encourages corporations to move overseas,"	406	"4"
"lessens investment,"	410	"4"
"cripples job creation,"	701	"7"
"lowers U.S. wages,"	701	"7"
"and fosters the avoidance of tax liability—without actually increasing tax revenues."	408	"4"
"To level the international playing field, and to spur job creation here at home, we call for a reduction of the corporate rate to keep U.S. corporations competitive internationally,"	402	"4"
"with a permanent research and development tax credit,"	411	"4"
"and a repeal of the corporate alternative minimum tax."	402	"4"
"We also support the recommendation of the National Commission on Fiscal Responsibility and Reform, as well as the current President’s Export Council, to switch to a territorial system of corporate taxation,  so that profits earned and taxed abroad may be repatriated for jobcreating investment here at home without additional penalty."	410	"4"
"Fundamental Tax Principles"	NA	NA
"We oppose retroactive taxation;"	401	"4"
"and we condemn attempts by activist judges, at any level of government, to seize the power of the purse by ordering higher taxes."	401	"4"
"We oppose tax policies that divide Americans or promote class warfare."	503	"5"
"Because of the vital role of religious organizations, charities, and fraternal benevolent societies in fostering benevolence and patriotism, they should not be subject to taxation, and donations to them should continue to be tax deductible."	603	"6"
"In any restructuring of federal taxation, to guard against hypertaxation of the American people, any value added tax or national sales tax must be tied to the simultaneous repeal of the Sixteenth Amendment, which established the federal income tax."	204	"2"
"Reining in OutofControl Spending, Balancing the Budget, and Ensuring Sound Monetary Policy"	NA	NA
"The  massive  federal  government  is  structurally and  financially  broken."	414	"4"
" For  decades  it  has  been pushed  beyond  its  core  functions,  increasing  spending  to  unsustainable  levels."	414	"4"
" Elected  officials  have overpromised  and  overspent,  and  now  the  bills  are due."	414	"4"
" Unless  we  take  dramatic  action  now,  young Americans  and  their  children  will  inherit  an  unprecedented  legacy  of  enormous  and  unsustainable  debt, with  the  interest  alone  consuming  an  everincreasing portion  of  the  country’s  wealth."	414	"4"
"The  specter  of  national  bankruptcy  that  now  hangs  over  much of  Europe  is  a  warning  to  us  as well."	110	"1"
" Over  the  last  three  and  a half  years,  while  cutting  the  deflfense  budget,  the  current  Admincoistration  has  added  an  additional $5.3  trillion  to  the  national debt—now  approximately  $16 trillion,  the  largest  amount  in U.S.  history."	305	"3"
" In  fiscal  year  2011, spending  reached  $3.6  trillion, nearly  a  quarter  of  our  gross  domestic  product."	414	"4"
" Adjusted  for  inflation,  that’s  more  than  three times  its  peak  level  in  World  War  II"	414	"4"
",  and  almost  half of  every  dollar  spent  was  borrowed  money.  "	414	"4"
"Three programs—Medicare,  Medicaid,  and  Social  Security—  account  for  over  40  percent  of  total  spending."	505	"5"
"While  these  levels  of  spending  and  debt  are  already harming  job  creation  and  growth,  projections  of  future  spending  growth  are  nothing  short  of  catastrophic,  both  economically  and  socially.  "	414	"4"
"And  those dire  projections  do  not  include  the  fiscal  nightmare of  Obamacare,  with  over  $1  trillion  in  new  taxes,  multiple  mandates,  and  a  crushing  price  tag."	505	"5"
"We can preempt the debt explosion."	414	"4"
"Backed by a Republican Senate and House, our next President will propose immediate reductions in federal spending,"	414	"4"
"as a down payment on the much larger task of longrange fiscal control."	414	"4"
"We suggest a tripartite test for every federal activity."	0	"0"
"First, is it within the constitutional scope of the federal government?"	203	"2"
"Second, is it effective and absolutely necessary?"	401	"4"
"And third, is it sufficiently important to justify borrowing, especially foreign borrowing, to fund it?"	414	"4"
"Against those standards we will measure programs from international population control to California’s federally subsidized highspeed train to nowhere, and terminate programs that don’t measure up."	303	"3"
"Balancing the Budget"	NA	NA
"Cutting spending is not enough;"	414	"4"
"it must be accompanied by major structural reforms,"	414	"4"
"increased productivity,"	410	"4"
"use of technology,"	411	"4"
"and longterm government downsizing"	303	"3"
"that both reduce debt and deficits"	414	"4"
"and ignite economic growth."	410	"4"
"We must restructure the twentieth  century  entitlement state"	505	"5"
" so  the  missions  of  important  programs  can  succeed  in  the twentyfirst  century."	504	"5"
" Medicare, in  particular,  is  the  largest  driver of  future  debt.  "	505	"5"
"Our  reform  of healthcare  will  empower  millions  of  seniors  to  control  their personal  healthcare  decisions,"	505	"5"
"unlike  Obamacare  that  empowered  a  handful  of  bureaucrats  to cut  Medicare  in  ways  that  will deny  care  for  the  elderly."	505	"5"
"We  must  also  change  the budget  process  itself."	414	"4"
"  From  its  beginning,  its  design has  enabled,  rather  than  restrained,  reckless  spending  by  giving  procedural  cover  to  Members  of  Congress."	414	"4"
" The  budget  process  gave  us  the  insidious  term “tax  expenditure,”  which  means  that  any  earnings  the government  allows  a  taxpayer  to  keep  through  a  deduction,  exemption,  or  credit  are  equivalent  to spending  the  same  amount  on  some  program. "	414	"4"
"It  also lumped  a  broad  range  of  diverse  programs  under  the heading  of  “entitlement,”  as  if  veterans’  benefits   and welfare  checks  belong  in  the  same  category."	505	"5"
" Far worse,  the  process  assumes  every  spending  program will  be  permanent  and  every  tax  cut  will  be  temporary."	414	"4"
" It  refuses  to  recognize  the  beneficial  budgetary impact  of  lower  tax  rates,"	401	"4"
" and  it  calls  a  spending  increase a cut if it is less than the rate of inflation."	414	"4"
"Republican  Members  of  Congress  have  repeatedly  tried  to  reform  the  budget  process  to  make  it more  transparent  and  accountable,  in  particular  by voting  for  a  Balanced  Budget  Amendment  to  the  Constitution,"	303	"3"
" following  the  lead  of  33  States  which  have put  that  restraint  into  their  own  constitutions."	204	"2"
" We call  for  a  Constitutional  amendment  requiring  a supermajority  for  any  tax  increase,  with  exceptions for  only  war  and  national  emergencies,  "	204	"2"
"and  imposing a  cap  limiting  spending  to  the  historical  average percentage  of  GDP  so  that  future  Congresses  cannot balance  the  budget  by  raising  taxes."	414	"4"
" "	NA	NA
"Inflation and the Federal Reserve"	NA	NA
"A sound monetary policy is critical for maintaining a strong economy."	414	"4"
"Inflation diminishes the purchasing power of the dollar at home and abroad and is a hidden tax on the American people."	414	"4"
"Moreover, the inflation tax is regressive"	401	"4"
", punishes those who save,"	414	"4"
"transfers wealth from Main Street to Wall Street,"	401	"4"
"and has grave implications for seniors living on fixed incomes."	706	"7"
"Because the Federal Reserve’s monetary policy actions affect both inflation and economic activity, those actions should be transparent."	303	"3"
"Moreover, the Fed’s important role as a lender of last resort should also be carried out in a more transparent manner."	303	"3"
"A free society demands that the sun shine on all elements of government."	201	"2"
"Therefore, the Republican Party will work to advance substantive legislation that brings transparency and accountability to the Federal Reserve, the Federal Open Market Committee, and the Fed’s dealings with foreign central banks."	303	"3"
"The first step to increasing transparency and accountability is through an annual audit of the Federal Reserve’s activities."	303	"3"
"Such an audit would need to be carefully implemented so that the Federal Reserve remains insulated from political pressures"	304	"3"
"and so its decisions are based on sound economic principles and sound money rather than on political pressures for easy money and loose credit."	408	"4"
"Determined to crush the doubledigit inflation that was part of the Carter Administration’s economic legacy, President Reagan, shortly after his inauguration, established a commission to consider the feasibility of a metallic basis for U.S. currency."	414	"4"
"The commission advised against such a move."	0	"0"
"Now, three decades later, as we face the task of cleaning up the wreckage of the current Administration’s policies, we propose a similar commission to investigate possible ways to set a fixed value for the dollar."	414	"4"
"Ending the Housing Crisis and Expanding Opportunities for Homeownership"	NA	NA
"Homeownership expands personal liberty, builds communities, and helps Americans create wealth."	401	"4"
"“The American Dream” is not a stale slogan."	601	"6"
"It is the lived reality that expresses the aspirations of all our people."	601	"6"
"It means a decent place to live,"	606	"6"
"a safe place to raise kids,"	605	"6"
"a welcoming place to retire."	606	"6"
"It bespeaks the quiet pride of those who work hard to shelter their family and, in the process, create caring neighborhoods."	606	"6"
"Homeownership is best fostered by a growing economy with low interest rates,"	410	"4"
"as well as prudent regulation, financial education, and targeted assistance to responsible borrowers."	402	"4"
"The collapse of the housing market over the last four years has been not only a severe blow to the entire economy, but also a personal tragedy to millions of Americans whose homes have lost value and to so many others who have lost their homes."	408	"4"
"Combined with high unemployment, that decline has left countless homeowners saddled with mortgages exceeding the value of their homes."	408	"4"
"The response of the current Administration has done little to improve, and much to worsen, the situation."	305	"3"
"By discouraging private sector investment, it has stalled the housing recovery."	305	"3"
"Its massive intervention in the housing market, with the Federal Housing Administration (FHA), Fannie Mae and Freddie Mac backing nearly all new mortgages, has hit the taxpayers with a bill for almost $200 billion to bail out the latter two institutions."	401	"4"
"It has spent billions more on poorly designed and ineffective housing assistance programs."	504	"5"
"Making matters worse, the Congress, under Democrat control, enacted the DoddFrank Act, a massive labyrinth of costly new regulations that deter lenders from lending to creditworthy homebuyers"	303	"3"
"and that disproportionately harms small and community banks."	401	"4"
"As a result, home sales remain weak, investment in housing remains depressed, construction industry jobs remain down, and mortgage lending has yet to recover to precrisis levels."	410	"4"
"Rebuilding Homeownership"	NA	NA
"We must establish a mortgage finance system based on competition and free enterprise that is transparent,"	401	"4"
"encourages the private sector to return to housing,"	401	"4"
"and promotes personal responsibility on the part of borrowers."	401	"4"
"Policies that promote reliance on private capital, like private mortgage insurance, will be critical to scaling back the federal role in the housing market"	401	"4"
"and avoiding future taxpayer bailouts."	401	"4"
"Reforms should provide clear and prudent underwriting standards and guidelines on acceptable lending practices."	303	"3"
"Compliance with regulatory standards should provide a legal safe harbor to guard against opportunistic litigation."	402	"4"
"Fannie Mae and Freddie Mac were a primary cause of the housing crisis because their implicit government guarantee allowed them to avoid market discipline and make risky investments."	403	"4"
"Their favored political status enriched their politicallyconnected executives and their shareholders at the expense of the nation."	403	"4"
"Both Fannie Mae and Freddie Mac should be wound down in size and scope, and their officials should be held to account."	403	"4"
"The FHA, tripled in size to more than $1 trillion under the current Administration, has crowded out the private sector and is at risk of requiring a taxpayer bailout."	303	"3"
"It must be downsized"	303	"3"
"and limited to helping firsttime homebuyers and lowand moderateincome borrowers."	504	"5"
"Taxpayer dollars should not be used to bail out borrowers and lenders by funding principal writedowns."	408	"4"
"While the federal government must prosecute mortgage fraud and other financial crimes, any settlements received thereby should be directed to individuals harmed by the misconduct, not diverted to pay for unrelated programs."	401	"4"
"FDIC insurance for bank depositors must be preserved."	414	"4"
"However, to correct for the moral hazard created by deposit insurance, banks should be well capitalized, which is the best insurance against future taxpayer bailouts."	408	"4"
"The federal government has a role in housing by enforcing nondiscrimination laws and assisting lowincome families and the elderly with safe and adequate shelter, especially through the use of housing vouchers."	503	"5"
"Homeownership is an important goal, but public policy must be balanced to reflect the needs of Americans who choose to rent."	504	"5"
"A comprehensive housing policy should address the demand for apartments and multifamily housing."	504	"5"
"Any assistance should be subject to stringent oversight to ensure that funds are spent wisely."	303	"3"
"Infrastructure: Building the Future"	NA	NA
"America’s infrastructure networks are critical for economic growth,"	410	"4"
"international competitiveness,"	406	"4"
"and national security."	104	"1"
"Infrastructure programs have traditionally been nonpartisan; everyone recognized that we all need clean water and safe roads, rail, bridges, ports, and airports."	411	"4"
"The current Administration has changed that, replacing civil engineering with social engineering as it pursues an exclusively urban vision of dense housing and government transit."	401	"4"
"In the vaunted stimulus package, less than six percent of the funds went to transportation,"	411	"4"
"with most of that to cosmetic “shovelready” projects rather than fundamental structural improvements."	411	"4"
"All the while, the Democrats’ DavisBacon law continues to drive up infrastructure construction and maintenance costs for the benefit of that party’s union stalwarts."	702	"7"
"What most Americans take for granted—the safety and availability of our water supply—is in perilous condition."	411	"4"
"Engineering surveys report crumbling drinking water systems, aging dams, and overwhelmed wastewater infrastructure."	411	"4"
"Investment in these areas, as well as with levees and inland waterways, can renew communities, attract businesses, and create jobs."	411	"4"
"Most importantly, it can assure the health and safety of the American people."	411	"4"
"The nation’s ports have become a bottleneck in international trade."	411	"4"
"America’s exporters sometimes use Canadian ports in order to reach the world market in a timely manner."	411	"4"
"With the widening of the Panama Canal, our East Coast and Gulf ports have an extraordinary opportunity to boost container traffic"	411	"4"
"but require major improvement to remain competitive receivers of large vessels."	411	"4"
"Interstate infrastructure has long been a federal responsibility shared with the States,"	301	"3"
"and a renewed federalState partnership and new publicprivate partnerships are urgently needed to maintain and modernize our country’s travel lifelines"	301	"3"
"to facilitate economic growth and job creation."	410	"4"
"In the last two years, Congressional Republicans have taken the lead with initiatives like the FAA Modernization and Reform Act; the Pipeline Safety, Regulatory Certainty, and Job Creation Act; and the Coast Guard and Maritime Transportation Act."	411	"4"
"The recent highway bill reforming the federal highway program included some key reforms. It will shorten the project approval process,"	411	"4"
"eliminate unnecessary programs,"	505	"5"
"and give States more flexibility to address their particular needs."	301	"3"
"It is a return to the principles of federalism, and it contains not a single earmark."	301	"3"
"It should be followed by reform of the 42year old National Environmental Policy Act to create regulatory certainty for infrastructure projects, expedite their timetables, and limit litigation against them."	411	"4"
"Securing sufficient funding for the Highway Trust Fund remains a challenge given the debt and deficits and the need to reduce spending."	411	"4"
"Republicans will make hard choices and set priorities, and infrastructure will be among them."	411	"4"
"In some States with elected officials dominated by the Democratic Party, a proportion of highway funds is diverted to other purposes."	411	"4"
"This must stop."	411	"4"
"We oppose any funding mechanism that would involve governmental monitoring of every car and truck in the nation."	411	"4"
"Amtrak continues to be, for the taxpayers, an extremely expensive railroad."	401	"4"
"The public has to subsidize every ticket nearly $50."	401	"4"
"It is long past time for the federal government to get out of way and allow private ventures to provide passenger service to the northeast corridor."	401	"4"
"The same holds true with regard to highspeed and intercity rail across the country."	401	"4"
"International Trade: More American Jobs, Higher Wages, and A Better Standard of Living"	NA	NA
"International trade is crucial for our economy."	408	"4"
"It means more American jobs,"	701	"7"
"higher wages,"	701	"7"
"and a better standard of living."	504	"5"
"Every $1 billion in additional U.S. exports means another 5,000 jobs here at home."	701	"7"
"The Free Trade Agreements negotiated with friendly democracies since President Reagan’s trailblazing pact with Israel in 1985 facilitated the creation of nearly ten million jobs supported by our exports."	407	"4"
"That record makes all the more deplorable the current Administration’s slowness in completing agreements begun by its predecessor"	305	"3"
"and its failure to pursue any new trade agreements with friendly nations."	407	"4"
"This worldwide explosion of trade has had a downside, however, as some governments have used a variety of unfair means to limit American access to their markets"	407	"4"
"while stealing our designs, patents, brands, knowhow, and technology—the “intellectual property” that drives innovation."	406	"4"
"The chief offender is China, which has built up its economy in part by piggybacking onto Western technological advances,"	102	"1"
"manipulates its currency to the disadvantage of American exporters,"	406	"4"
"excludes American products from government purchases, subsidizes Chinese companies to give them a commercial advantage,"	406	"4"
"and invents regulations and standards designed to keep out foreign competition."	407	"4"
"The current Administration’s way of dealing with all these violations of world trade standards has been a virtual surrender."	305	"3"
"Republicans understand that you can succeed in a negotiation only if you are willing to walk away from it."	0	"0"
"Thus, a Republican President will insist on full parity in trade with China"	407	"4"
"and stand ready to impose countervailing duties if China fails to amend its currency policies."	406	"4"
"Commercial discrimination will be met in kind."	406	"4"
"Counterfeit goods will be aggressively kept out of the country."	406	"4"
"Victimized private firms will be encouraged to raise claims in both U.S. courts and at the World Trade Organization."	107	"1"
"Punitive measures will be imposed on foreign firms that misappropriate American technology and intellectual property."	406	"4"
"Until China abides by the WTO’s Government Procurement Agreement, the United States government will end procurement of Chinese goods and services."	406	"4"
"Because American workers have shown that, on a truly level playing field, they can surpass the competition in international trade, we call for the restoration of presidential Trade Promotion Authority."	407	"4"
"It will ensure up or down votes in Congress on any new trade agreements,"	303	"3"
"without meddling by special interests."	304	"3"
"A Republican President will complete negotiations for a TransPacific Partnership to open rapidly developing Asian markets to U.S. products."	407	"4"
"Beyond that, we envision a worldwide multilateral agreement among nations committed to the principles of open markets, what has been called a “Reagan Economic Zone,”"	407	"4"
"in which free trade will truly be fair trade for all concerned."	407	"4"
"A TwentyFirst Century Workforce"	NA	NA
"The greatest asset of the American economy is the hardworking American."	701	"7"
"The high rates of unemployment over the last three and a half years— disastrously high among youth, minorities, and veterans—have thus been a tragic waste of energy and ideas,"	701	"7"
"compounded by the waste of billions in “stimulus” funds with no payoff in jobs."	303	"3"
"The chief cause has been an unprecedented uncertainty in the American free enterprise system due to the overreaching policies of the current  Administration. "	401	"4"
"Nothing matters  more  than  getting  the American  people  back  to  work. "	701	"7"
"In addition  to  cutting  spending,"	414	"4"
"keeping  taxes  low, "	401	"4"
"and  curtailing bureaucratic  red  tape, "	303	"3"
"we  must  replace  outdated  policies  and  ineffectual  training  programs  with  a plan  to  develop  a  twentyfirst  century  workforce  to  make  the  most of  our  country’s  human  capital."	411	"4"
"It  is  critical  that  the  United States  has  a  highly  trained  and skilled  workforce."	701	"7"
"  Nine  federal  agencies  currently run  47  retraining  programs  at  a  total  cost  of  $18  billion  annually  with  dismal  results."	303	"3"
" Both  the  trainees in  those  programs  and  the  taxpayers  who  fund  them deserve  better."	701	"7"
" We  propose  consolidation  of  those programs  into  State  block  grants"	301	"3"
" so  that  training  can be  coordinated  with  local  schools  and  employers."	411	"4"
"That  will  be  critically  important  if  States  establish Personal  Reemployment  Accounts,   letting  trainees direct  resources  in  ways  that  will  steer  them  toward longterm  employment,  "	701	"7"
"especially  through  onthejob  training  with  participating  employers."	411	"4"
"We  can  accelerate  the  process  of  restoring  our domestic  economy—and  reclaiming  this  country’s traditional  position  of  dominance  in  international trade—by  a  policy  of  strategic  immigration,"	410	"4"
"  granting more  work  visas  to  holders  of  advanced  degrees  in science,  technology,  engineering,  and  math  from other  nations. "	411	"4"
" Highly  educated  immigrants  can  assist  in  creating  new  services  and  products."	410	"4"
"  In  the same  way,  foreign  students  who  graduate  from  an American  university  with  an  advanced  degree  in  science,  technology,  engineering  or  math  should  be  encouraged  to  remain  here  and  contribute  to  economic prosperity  and  job  creation.  "	410	"4"
" Highly  skilled,  Englishspeaking,  and  integrated  into  their  communities,  they are  too  valuable  a  resource  to  lose."	608	"6"
"  As  in  past  generations,  we  should  encourage  the  world’s  innovators and  inventors  to  create  our  common  future  and  their permanent  homes  here  in  the  United  States."	411	"4"
"Republicans  believe  that  the  employer employee relationship  of  the  future  will  be  built  upon  employee empowerment  and  workplace  flexibility, "	701	"7"
"which  is  why Republicans  support  employee  ownership."	702	"7"
"  We  believe employee stock ownership plans create capitalists and expand the ownership of private property"	401	"4"
"and are therefore the essence of a highperforming free enterprise economy,"	401	"4"
