"quasi"	"cmpcode"	"cmpdomain"
"One hundred and fifty years after our founding, we Republicans proudly carry forward our time-honored banner of freedom."	0	"0"
"And we endorse the bold and visionary leadership of President George W. Bush and Vice President Dick Cheney."	0	"0"
"TABLE OF CONTENTS"	NA	NA
"Winning the War on Terror 1"	NA	NA
"Ushering in an Ownership Era39"	NA	NA
"Building an Innovative, Globally Competitive Economy 45"	NA	NA
"Strengthening Our Communities67"	NA	NA
"Protecting Our Families87"	NA	NA
"Summary and Call to Action 93"	NA	NA
"WINNING THE WAR ON TERROR"	NA	NA
"\"Our nation's cause has always been larger than our nation's defense."	NA	NA
"We fight, as we always fight, for a just peace - a peace that favors liberty."	NA	NA
"We will defend the peace against the threats from terrorists and tyrants."	NA	NA
"We will preserve the peace by building good relations among the great powers."	NA	NA
"And we will extend the peace by encouraging free and open societies on every continent.”"	NA	NA
"- President George W. Bush"	NA	NA
"President Bush has confronted unprecedented challenges, including a world scarred by terrorism."	305	"3"
"The President and the American people have risen to the occasion by acting on a bold new statement of America's place and purpose in the world."	305	"3"
"Today, we are filled with hope for the most dramatic advance of liberty in 60 years."	305	"3"
"President Bush's leadership is rooted in the timeless values that have made America a unique and exalted nation: respect for individual rights; a deep commitment to freedom; a desire to serve as a living example of the power of democracy."	305	"3"
"The President's leadership has achieved successes once deemed impossible to realize in so short a period of time."	305	"3"
"His forward-looking strategy for freedom and peace is making progress in every part of the world."	305	"3"
"The President and Republicans in Congress recognize that new threats demand new tools and new methods for defending America and promoting our goals in the world."	305	"3"
"They have responded swiftly to the challenges of a new era, rather than remaining wedded to outdated theories and fighting battles that ended long ago."	305	"3"
"Their accomplishments are the foundation upon which future progress will be built."	305	"3"
"A Comprehensive Strategy to Win the War on Terror, Promote Peace, and Build a Better World"	NA	NA
"The world changed on September 11, 2001, and since that day, under the strong, steady, and visionary leadership of President George W. Bush, Americans have helped make the world not only safer, but better."	305	"3"
"The President continues to lead a steady, confident, systematic campaign to defend America against the dangers of our time."	605	"6"
"We are going after terrorists wherever they plot and plan and hide, changing the old course of pinprick strikes that did little to get at the root of terrorism."	605	"6"
"We eliminated many of al Qaeda's key leaders and put the world on notice that nations that train, harbor, or finance terrorists are just as guilty as the terrorists themselves."	605	"6"
"We will not allow the world's most dangerous regimes to possess the world's most dangerous weapons."	605	"6"
"Our message is getting through, as indicated by Libya's leader, who decided to turn over his weapons of mass destruction and cooperate with the international community."	605	"6"
"Today, because America has acted, and because America has led, the forces of terror and tyranny have suffered defeat after defeat, and America and the world are safer."	605	"6"
"On September 11, 2001, we saw the cruelty of the terrorists, and we glimpsed the future they intend for us."	605	"6"
"They intend to strike the United States to the limits of their power."	605	"6"
"They seek weapons of mass destruction to kill Americans on an even greater scale."	605	"6"
"This danger is increased when outlaw regimes build or acquire weapons of mass destruction and maintain ties to terrorist groups."	605	"6"
"On September 11, 2001, we saw the spirit of courage and optimism of the American people - that greatest assurance of the ultimate triumph of our cause."	605	"6"
"Courage and optimism led colleagues to help each other in escaping from collapsing buildings."	605	"6"
"Courage and optimism led policemen, firefighters, emergency medical professionals, public works employees, our men and women in uniform, and selfless volunteers to run into burning buildings to save others and undertake a mammoth rescue and recovery effort."	605	"6"
"Courage and optimism led the passengers on Flight 93 to rush their murderers to save lives on the ground."	605	"6"
"Courage and optimism led America's parents and teachers to battle their own fears to keep children calm and safe."	605	"6"
"In those and countless other acts of heroism on that day, and many times since, terrorists have learned that Americans will not be intimidated."	605	"6"
"We will fight them with everything we have - and we will prevail."	605	"6"
"President Bush answered the challenge of September 11, 2001, not only with steadfast resolve, but also with vision, optimism, and unshakable confidence in the will and faith of the American people."	305	"3"
"That is what we all saw on September 14, 2001, when our President stood with the brave workers at Ground Zero and resolutely assured our nation amidst our shock, anger, and grief that while the terrorists had struck first, America would have the last word."	305	"3"
"The President's most solemn duty is to protect our country."	305	"3"
"George W. Bush has kept that charge."	305	"3"
"To protect our people, President Bush is leading America, staying on the offensive against threats within our own country."	305	"3"
"He worked with Congress to establish the Department of Homeland Security in the most significant reorganization of the federal government since 1947."	305	"3"
"The PATRIOT Act is being used to track terrorist activity and to break up terror cells."	605	"6"
"Now, the FBI can use tools that have been long available to fight organized crime and drug trafficking, but could not be used in the past to fight terrorism."	605	"6"
"Intelligence and law enforcement officials are sharing information as never before."	605	"6"
"The President transformed the mission of the FBI to focus first and foremost on preventing terrorism."	605	"6"
"Every element of America's homeland security plan is critical, because the terrorists are ruthless and resourceful - and we know they are preparing to attack us again."	605	"6"
"It is not possible to guarantee perfect security in our vast, free nation."	605	"6"
"But the President and Vice President, along with many fine professionals in intelligence, homeland security, law enforcement, and the military are working tirelessly to protect the country."	605	"6"
"We are grateful to them all."	605	"6"
"President Bush recognized that to overcome the dangers of our time, America would have to take a new approach in the world."	305	"3"
"That approach is marked by a determination to challenge new threats, not ignore them, or simply wait for future tragedy - and by a renewed commitment to building a hopeful future in hopeless places, instead of allowing troubled regions to remain in despair and explode in violence."	305	"3"
"Before entering office, President Bush recognized that our age is a time of opportunity for America - opportunity to translate this moment of influence into decades of peace, prosperity, and liberty."	107	"1"
"That conviction is in the finest traditions of the Republican Party."	107	"1"
"As our platform said in 1984, during the height of Cold War confrontation: \"The supreme purpose of our foreign policy must be to maintain our freedom in a peaceful international environment in which the United States and our allies and friends are secure against military threats, and democratic governments are flourishing in a world of increasing prosperity.”"	107	"1"
"The reality of 9/11 does not diminish our generation's opportunity to advance the cause of freedom but in fact makes it all the more important that we take up that challenge."	107	"1"
"President Bush has rallied America to its calling - to make the world safer and better."	107	"1"
"This calling is answered by a distinctly American internationalism that reflects the union of our values and our national interests."	107	"1"
"Americans everywhere are remaining faithful to that duty."	107	"1"
"By keeping our word and holding firm to our values, this generation is showing the world the power of liberty once again."	107	"1"
"Republicans support President Bush's steadfast commitment to the goal of a lasting, democratic peace, in which all nations are free from the threat of sudden terror."	202	"2"
"We affirm the three commitments of the President's strategy for peace:"	106	"1"
"• Terrorists long ago declared war on America, and now America has declared war against terrorists."	104	"1"
"We are defending the peace by taking the fight to the enemy."	104	"1"
"We are confronting terrorists overseas so we do not have to confront them here at home."	104	"1"
"We are destroying the leadership of terrorist networks in sudden raids, disrupting their planning and financing, and keeping them on the run."	104	"1"
"Month by month, we are shrinking the space in which they can freely operate, by denying them territory and the support of governments."	104	"1"
"•Nations that support terrorism are just as dangerous, and just as guilty, as the perpetrators of terrorism."	101	"1"
"Every nation must make a choice to support terror or to support America and our coalition to defeat terror."	101	"1"
"We are preserving the peace by working with more than 80 allied nations, as well as international institutions, to isolate and confront terrorists and outlaw regimes."	101	"1"
"America is leading a broad coalition of nations to disrupt proliferation."	107	"1"
"We are working with the United Nations, the International Atomic Energy Agency, and other international organizations to take action in our common security."	107	"1"
"The global threat of terrorism requires a global response."	104	"1"
"To be effective, that global response requires leadership - and America is leading."	104	"1"
"•There is no negotiation with terrorists."	202	"2"
"No form of therapy or coercion will turn them from their murderous ways."	202	"2"
"Only total and complete destruction of terrorism will allow freedom to flourish."	202	"2"
"We will extend the peace by supporting the rise of democracy, and the hope and progress that democracy brings, as the alternative to hatred and terror in the broader Middle East."	202	"2"
"In democratic societies, men and women do not swear allegiance to malcontents and murderers; they turn their hearts and labor to building better lives."	202	"2"
"Democratic governments do not shelter terrorist camps or attack their neighbors."	202	"2"
"When justice and democracy advance, so does the hope of lasting peace."	202	"2"
"We are proud of the President's steady leadership in executing this strategy."	305	"3"
"We are dealing with terrorist threats as they gather, rather than waiting for them to become imminent dangers."	305	"3"
"The results are clear to see."	305	"3"
"•Three years ago, our nation was not on a war footing against al Qaeda - even though Osama bin Laden declared war on the United States in 1996 and again in 1998."	605	"6"
"The al Qaeda leadership believed itself to be impervious to any American response, continued to raise funds practically without restriction, and operated in a world in which there was no cohesive global approach to fighting terror."	605	"6"
"Today, al Qaeda has been wounded, having lost many of its known leaders and most of its important sanctuaries."	605	"6"
"America and its allies and friends have broken al Qaeda cells here in the United States and overseas."	605	"6"
"A global coalition, led by the United States, has dried up sources of terrorist financing."	101	"1"
"Thousands of very skilled and determined military personnel remain on the manhunt, going after the remaining killers who hide in cities and caves."	104	"1"
"Today, because of the solidarity of the international coalition in the War on Terror, we are bringing these terrorists to justice, and the American people are safer."	101	"1"
"•Three years ago, al Qaeda's secure home base was in Afghanistan, a country ruled by the Taliban, one of the most backward and brutal regimes of modern history."	605	"6"
"Schooling was denied to girls."	605	"6"
"Women were whipped and executed in public."	605	"6"
"Millions lived in fear."	605	"6"
"With protection from the Taliban, al Qaeda and its associates trained, indoctrinated, and sent forth thousands of killers to set up terror cells in dozens of countries, including our own."	605	"6"
"Today, Afghanistan is a world away from the nightmare of the Taliban."	201	"2"
"Twentyeight million people are free."	201	"2"
"That country has a good and just president."	201	"2"
"Boys and girls are being educated."	201	"2"
"Women are respected."	201	"2"
"Many refugees have returned home to rebuild their country, and a presidential election is scheduled for this fall."	201	"2"
"The terror camps are closed and the Afghan government is helping us to hunt the Taliban and terrorists in remote regions."	605	"6"
"Today, because we acted to liberate Afghanistan, a threat has been removed, and the American people are safer."	605	"6"
"•Three years ago, Pakistan was one of the few countries in the world that recognized the Taliban regime."	102	"1"
"Al Qaeda was active and recruiting in Pakistan."	102	"1"
"Pakistan served as a transit point for al Qaeda terrorists leaving Afghanistan on missions of murder."	102	"1"
"The United States could not count on the support of Pakistan's military and civilian leaders - the very people we would need to help shut down al Qaeda operations in that part of the world."	102	"1"
"Today, the governments of the United States and Pakistan are working closely in the fight against terror."	101	"1"
"Pakistan has helped capture Khalid Sheik Mohammed, the operational planner behind the September 11 attacks, and other terrorists."	101	"1"
"Pakistani forces are rounding up terrorists along their nation's western border."	101	"1"
"Today, because we are working with Pakistani leaders, Pakistan is an ally in the War on Terror, and the American people are safer."	101	"1"
"•Three years ago, terrorists were well-established in Saudi Arabia."	102	"1"
"Inside that country, fundraisers and other facilitators gave al Qaeda financial and logistical help with little scrutiny or opposition."	102	"1"
"Today, after the attacks in Riyadh and elsewhere, the Saudi government knows that al Qaeda is its enemy."	101	"1"
"Saudi Arabia is working hard to shut down the facilitators and financial supporters of terrorism."	101	"1"
"The government has captured or killed many first-tier leaders of the al Qaeda organization in Saudi Arabia."	101	"1"
"Today, because Saudi Arabia has seen the danger and has joined the War on Terror, the American people are safer."	101	"1"
"•Three years ago, the ruler of Iraq was a sworn enemy of America who provided safe haven for terrorists, used weapons of mass destruction, and turned his nation into a prison."	102	"1"
"Saddam Hussein was not just a dictator; he was a proven mass murderer who refused to account for weapons of mass murder."	102	"1"
"He defied the international community and seventeen United Nations resolutions over the course of twelve years, giving no indication that Iraq would ever disarm and comply with the just demands of the world."	102	"1"
"In 2002 - in Resolution 1441 - the United Nations Security Council unanimously voted that Saddam Hussein had one final chance to comply with his obligations to the international community, or there would be serious consequences."	102	"1"
"As he had for over a decade, he refused to comply."	102	"1"
"Every responsible nation recognized this threat, and knew it could not go on forever."	102	"1"
"Today, the dictator who caused decades of death and turmoil, who twice invaded his neighbors, who harbored terrorist leaders, who used chemical weapons on innocent men, women, and children, finally stands before the bar of justice."	605	"6"
"Iraq, which once had the worst government in the Middle East, is now becoming an example of reform to the region."	605	"6"
"Iraqi security forces are fighting beside coalition troops to defeat the terrorists and foreign fighters who threaten their nation and the world."	605	"6"
"Today, because America and our coalition helped to end the violent regime of Saddam Hussein, and because we are helping to raise a peaceful democracy in its place, 25 million Iraqis are free and the American people are safer."	605	"6"
"•Three years ago, the nation of Libya, a longtime supporter of terror, was spending millions to acquire chemical and nuclear weapons."	102	"1"
"Today, thousands of Libya's chemical munitions have been destroyed."	101	"1"
"Libya's nuclear equipment that could ultimately have threatened the lives of hundreds of thousands is stored away in the United States."	101	"1"
"Today, because the Libyan government saw the seriousness of the civilized world, and correctly judged its own interests, the American people are safer."	101	"1"
"•Three years ago, a private weapons proliferation network was doing business around the world."	605	"6"
"This network, operated by the Pakistani nuclear scientist A.Q. Khan, was selling nuclear plans and equipment to the highest bidder, and found willing buyers in places like Libya, Iran, and North Korea."	605	"6"
"Today, the A.Q. Khan network is out of business."	605	"6"
"We have ended one of the most dangerous sources of proliferation in the world, and the American people are safer."	605	"6"
"Republicans applaud President Bush, Vice President Cheney, and those who have supported them in the Congress for the steady leadership that led to these successes."	605	"6"
"America must stay the course."	605	"6"
"Consolidating Gains in the War on Terror"	NA	NA
"In Afghanistan and Iraq, our enemies have seen the results of what civilized nations can, and will, do against regimes that harbor, support, and use terrorism to achieve their political goals."	202	"2"
"Republicans believe that America and the world must keep our commitments to the people of those countries, who are building the world's newest democracies and counting on the world to help."	202	"2"
"Delivering these nations from tyranny has required sacrifice and loss."	202	"2"
"We must honor that sacrifice by finishing the great work we have begun."	202	"2"
"Republicans appreciate the military, financial, and technical assistance provided by the dozens of nations contributing to the reconstruction of Afghanistan and Iraq."	101	"1"
"The success of free and stable governments in Afghanistan, Iraq, and elsewhere will further shrink the space in which terrorists can operate."	605	"6"
"As the entire region sees the promise of freedom in its midst, the terrorist ideology will become more and more irrelevant, until that day when it is viewed with contempt or ignored altogether."	605	"6"
"The forces of many nations are working with Afghans to find and defeat Taliban remnants and eliminate al Qaeda terrorists."	104	"1"
"We applaud the work of American forces and coalition partners in helping to build the new Afghan national army and to train new Afghan police and border patrol."	104	"1"
"Together, Afghan and international forces will maintain the peace, secure Afghanistan's borders, and deny terrorists any foothold in that country."	104	"1"
"We applaud President Bush's announcement of U.S. support for five new initiatives that will help the Afghan people achieve the peace, stability, and prosperity they deserve - through support for the development of democracy, educational assistance, cultural exchanges, enhanced bilateral economic ties, and increased economic opportunity for women."	201	"2"
"The road ahead for Afghanistan is still long and difficult."	202	"2"
"Yet the Afghan people can know that their country will never be abandoned to terrorists and killers."	202	"2"
"The world and the United States look forward to elections this year in Afghanistan and stand with the Afghan people as partners in their quest for peace and prosperity, stability, and democracy."	202	"2"
"As Republicans, we do not equivocate, as others have done, about whether America should have gone to war in Iraq."	104	"1"
"The best intelligence available at the time indicated that Saddam Hussein was a threat."	104	"1"
"On that point, President Bush, members of both parties in Congress, and the United Nations agreed."	104	"1"
"While the stockpiles of weapons of mass destruction we expected to find in Iraq have not yet materialized, we have confirmed that Saddam Hussein had the capability to reconstitute his weapons programs and the desire to do so."	104	"1"
"Our nation did the right thing, and the American people are now safer because we and our allies ended the brutal dictatorship of Saddam Hussein, halting his decades-long pursuit of chemical, biological, and nuclear weapons."	104	"1"
"President Bush had a choice to make: Trust a madman or defend America."	104	"1"
"He chose defending America."	104	"1"
"Supported by brave coalition allies such as the United Kingdom, Australia, Italy, Poland, and Denmark,"	101	"1"
"and displaying courage, skill, and resourcefulness on the battlefield, the men and women of our Armed Forces removed the dictator of Iraq, a declared enemy of America who had the capability and intent to produce weapons of mass murder, and could have passed that capability to terrorists bent on killing Americans."	104	"1"
"That was a risk we could not take."	104	"1"
"America's men and women in uniform have been unrelenting in the performance of their duty."	104	"1"
"Our nation has asked much of our military, and there is still much hard work ahead."	104	"1"
"We are proud of the sacrifice made by all who have served and are serving, and we are immensely grateful for the sacrifices made by their families and loved ones."	104	"1"
"Further, we honor the memories of those who have died in combat serving the cause of freedom."	104	"1"
"Defending our homeland with their ultimate sacrifice on behalf of all Americans merits our prayers and our thanksgiving."	104	"1"
"We also commit to continued honor and care for our wounded veterans, and support for all who return home from service."	104	"1"
"Together, we look forward to that day when the War on Terror is won and our military can return home, no longer at risk, our world and our country safer."	104	"1"
"We also salute our coalition allies."	101	"1"
"Their efforts with us to shape a world where freedom is honored and liberty is cherished deserves respect and admiration; their sacrifice, too, does not go without notice and appreciation."	101	"1"
"We are ever mindful that American troops remain on the ground in Iraq, working steadfastly to help the Iraqi people achieve stability and democracy."	104	"1"
"We therefore welcome declarations from responsible political leaders of both parties that our nation will persevere in our mission there, not cut and run."	104	"1"
"The American people need to hear this message."	104	"1"
"People in Baghdad and beyond need to hear it."	104	"1"
"The enemy needs to hear it."	104	"1"
"Most importantly, American soldiers, sailors, airmen, and Marines risking their lives in Iraq need to hear it."	104	"1"
"We condemn inconsistent, ambiguous, and politically expedient statements on that point."	305	"3"
"To the extent such wavering encourages our adversaries to fight harder, our men and women in uniform suffer the consequences."	305	"3"
"Their mission is difficult enough."	305	"3"
"Uncertainty about America's commitment to that mission makes it immeasurably more difficult."	305	"3"
"In Iraq, America is serving the cause of liberty, peace, and our own security."	605	"6"
"America accepted a difficult task in Iraq."	605	"6"
"We know that for all these reasons, we will finish that task."	605	"6"
"We also know that Iraqi sovereignty is a tribute to the will of the Iraqi people and the courage of Iraqi leaders."	101	"1"
"It is a proud moral achievement for members of our coalition."	101	"1"
"We have full confidence in the plan for Iraqi self-government that is currently being implemented by Iraq's interim government."	101	"1"
"That government has gained broad international support, and has been endorsed by the United Nations Security Council."	101	"1"
"The United States and our coalition partners are helping prepare Iraqis for the defense of their own country, including through the work of the NATO mission to train Iraqi security forces."	101	"1"
"We are helping Iraqis rebuild their country's infrastructure, and Iraq is continuing to move toward free elections, with important assistance from the United Nations."	104	"1"
"We applaud President Bush for establishing a visionary and resolute policy - a Forward Strategy of Freedom in the Middle East - to stand with the people of that region as they seek their future in freedom."	305	"3"
"Republicans support President Bush's policy of working with every government in the Middle East dedicated to destroying the terrorist networks, while in the longer term expecting a higher standard of reform and democracy from our friends in the region."	305	"3"
"We believe that democracy and reform will make those nations stronger and more stable, and make the world more secure by undermining terrorism at its source."	305	"3"
"As a result of President Bush's leadership, G-8 members adopted the Broader Middle East and North Africa Initiative at this year's Sea Island Summit."	101	"1"
"We applaud the commitment of the world's leading industrial nations to this historic initiative to support political, economic, and social reform throughout the region."	101	"1"
"Halting the Proliferation of Weapons of Mass Destruction"	NA	NA
"Republicans agree with the Bush Administration that there is no greater danger to our people than the nexus of terrorists and weapons of mass destruction (WMD)."	605	"6"
"That judgment is shared by leading allies and friends."	605	"6"
"As President Bush and his fellow G-8 leaders declared in 2003, the spread of weapons of mass destruction and international terrorism constitute \"the pre-eminent threat to international security.”"	605	"6"
"The risks posed by this dangerous relationship cannot be contained or deterred by traditional means."	605	"6"
"We applaud President Bush for pursuing from the beginning of his Administration a comprehensive strategy through which the United States works with its allies to:"	NA	NA
"•ensure that international agreements against the proliferation of WMD are observed and enforced;"	605	"6"
"• detect, disrupt, and block the spread of dangerous weapons and technology;"	605	"6"
"•confront emerging threats from any person or state before those threats have fully materialized;/ and"	605	"6"
"•improve our capabilities to respond to the use of WMD and minimize the consequences of an attack."	104	"1"
"Over the last two years, under President Bush's leadership and working with likeminded nations, America has:"	NA	NA
"•ended Saddam Hussein's decades-long pursuit of chemical, biological, and nuclear weapons;"	105	"1"
"• achieved the elimination of Libya's WMD and ballistic missile programs;"	105	"1"
"• shut down the A.Q Khan nuclear proliferation network;"	105	"1"
"•led the Proliferation Security Initiative to interdict dangerous WMD and their means of delivery;"	105	"1"
"•strengthened efforts to secure weapons-usable materials and sensitive technologies in the former Soviet Union and elsewhere;"	105	"1"
"•insisted on confronting the threat from North Korea through Six-Party Talks involving the Republic of Korea, Japan, China, and Russia;"	101	"1"
"•supported the work of the International Atomic Energy Agency to hold the Iranian regime to its treaty obligations;"	101	"1"
"• strengthened international non-proliferation export control and treaty regimes;"	107	"1"
"•secured unanimous passage of United Nations Security Council Resolution 1540, which requires states to enact legislation that criminalizes proliferation activities; and"	107	"1"
"•achieved agreement among the G-8 nations to refrain for one year from initiating new transfers of uranium enrichment and reprocessing technology to additional states."	101	"1"
"Republicans applaud these achievements, as well as the successes of President Bush and Vice President Cheney, backed by the Republican Congress, here at home to make America safer from the threat of weapons of mass destruction - including:"	NA	NA
"•creating Biodefense for the 21st Century, a national strategy for meeting the full range of biological threats;"	104	"1"
"•signing into law Project BioShield, which provides new tools to improve medical countermeasures protecting Americans against a chemical, biological, radiological, or nuclear attack;"	104	"1"
"• putting in place major new biodefense capabilities;"	104	"1"
"•creating the Container Security Initiative to screen cargo destined for the United States; and"	605	"6"
"• deploying missile defenses to defend the United States and its friends and allies."	104	"1"
"Libya's decision to disclose and dismantle its WMD programs is a product of the President's strategy that gives regimes a choice."	101	"1"
"They can choose to pursue WMD at great peril and cost, including international isolation."	101	"1"
"Or they can choose to renounce these weapons, take steps to rejoin the international community, and have its help in creating a better future for their citizens."	101	"1"
"The Libya case also demonstrates the President's success in forging increased international cooperation to prevent the spread of WMD technology through his groundbreaking Proliferation Security Initiative, a broad international partnership to coordinate actions to interdict proliferation shipments of WMD and related materials and shut down proliferation networks and entities."	107	"1"
"Republicans applaud the support of more than 60 nations in this crucial multilateral effort to stop the trade in weapons of mass destruction and their related components."	107	"1"
"We commend the President's leadership in expanding greatly the resources to prevent proliferation, including record-level U.S. and multilateral resources devoted to the Nunn-Lugar programs and other nonproliferation assistance, including that made available through the creation of the G-8 Global Partnership, which will provide $20 billion to this effort over 10 years."	305	"3"
"We hail the commitment of the other G-8 nations (the United Kingdom, Japan, Italy, Canada, Germany, France, and Russia) to this vital initiative, as well as commitments by other countries, including Poland, Finland, Norway, Sweden, Switzerland, and Australia."	101	"1"
"Republicans share President Bush's understanding that in an age in which the enemies of civilization openly and actively seek the world's most destructive technologies, the United States cannot remain idle while dangers gather."	305	"3"
"We therefore believe that to forestall or prevent hostile acts by our adversaries, the United States must, if necessary, act preemptively."	104	"1"
"Strengthening Alliances to Win the War on Terror, Promote Peace, and Build a Better World"	NA	NA
"Republicans recognize that our progress in the War on Terror has been achieved with the help of other responsible nations."	101	"1"
"We hail the strong and broad-based cooperation of America's allies in the War on Terror."	101	"1"
"We are grateful to the more than 30 nations with forces serving in Iraq, and the nearly 40 nations with forces serving in Afghanistan."	101	"1"
"In the fight against terror, America has asked our allies to do hard things."	101	"1"
"They have taken up these responsibilities in a spirit of solidarity that America should never forget."	101	"1"
"We applaud President Bush for his success in mobilizing such international cooperation in the War on Terror, which the 9/11 Commission judges to be \"on a vastly enlarged scale\" and to have expanded dramatically since September 11, 2001."	305	"3"
"We also question the credibility of our opponents, who claim to support global alliances while nominating a candidate who has insulted our allies by calling the nations fighting in Iraq \"window-dressing\" and referring to them as a \"coalition of the coerced and the bribed."	305	"3"
"\" Directing ugly rhetoric at America's allies in a time of war is irresponsible."	305	"3"
"It does not represent the gratitude and respect the vast majority of Americans have for the men and women from other nations who are risking their lives to make the world safer."	305	"3"
"Republicans welcome the enlargement of NATO, which has strengthened history's most successful Alliance."	104	"1"
"The Atlantic Alliance has widened the circle of its friends, while also creating a new chapter in our relationship with Russia."	101	"1"
"Under President Bush's leadership, the United States is working with responsible governments and international institutions to convince the leaders of North Korea and Iran that their nuclear weapons ambitions are deeply contrary to their own interests."	101	"1"
"With allies, America has launched the Broader Middle East Initiative, to encourage reform and democracy throughout the region, a project that will shape the history of our times for the better."	101	"1"
"Our nation is helping governments fight poverty and disease, so they do not become failed states and future havens for terror."	101	"1"
"Strengthening America's National Security Institutions"	NA	NA
"The major institutions of American national security were designed in a different era to meet different requirements."	104	"1"
"All of them are being transformed to meet the challenge of defending America in a new era."	104	"1"
"In this endeavor, America will rely - as always - on the character and skill of our citizens, especially the bravery, pride, and hard work of America's men and women in the military, our first responders, our diplomats, and our law enforcement and intelligence agents."	104	"1"
"Homeland Security"	NA	NA
"The freedom we enjoy also makes us vulnerable to attack."	0	"0"
"Since September 11, 2001, President Bush, Vice President Cheney, the Congress, and governors across the nation have taken significant steps to:"	NA	NA
"•streamline the federal government to make it more effective at combating terrorism;"	303	"3"
"• tighten security at entry points like ports, airports, and borders;"	605	"6"
"•strengthen protections at critical infrastructure landmarks such as power and water plants; and"	605	"6"
"• reduce the threats of bioterrorism and cyberterrorism."	605	"6"
"Through all their actions, President Bush and Congress have been careful to protect the rights and liberties that make America a beacon of freedom and justice."	605	"6"
